TC_ID,구번호(시나리오.md),1Depth,2Depth,3Depth,TO-BE DEV 결과,결함등급,자동화,파일,항목명,비고
VC_TC_001,VC_TC_001,VOC 로그인,,,PASS,,기존,00_로그인_대시보드/login-dashboard.json,"VC_TC_001~003,005 로그인 화면 플레이스홀더·아이디저장·오류메시지·정상 로그인",
VC_TC_002,VC_TC_002,VOC 로그인,,,PASS,,미작성,,,
VC_TC_003,VC_TC_003,VOC 로그인,,,PASS,,미작성,,,
VC_TC_004,VC_TC_004,VOC 로그인,,,PASS,,미작성,,,
VC_TC_005,VC_TC_005,VOC 로그인,,,PASS,,미작성,,,
VC_TC_006,VC_TC_006,VOC 로그인,,,PASS,,미작성,,,
VC_TC_007,VC_TC_007,홈 대시보드,,,FAIL,Minor,결함회귀,09_결함회귀_260916/01_대시보드_VOC업무.json,VC_TC_007 [Minor] 홈 대시보드 KPI 평균통화시간 표시 형식(00분 00초),기존 시나리오에도 있음: 00_로그인_대시보드/login-dashboard.json
VC_TC_008,VC_TC_008,홈 대시보드,,,PASS,,기존,00_로그인_대시보드/login-dashboard.json,"VC_TC_008~011,013 KPI·유형별·Vital Few·채널별 수치 표시",
VC_TC_009,VC_TC_009,홈 대시보드,,,,,미작성,,,
VC_TC_010,VC_TC_010,홈 대시보드,,,,,미작성,,,
VC_TC_011,VC_TC_011,홈 대시보드,,,,,미작성,,,
VC_TC_012,VC_TC_012,홈 대시보드,,,PASS,,미작성,,,
VC_TC_013,VC_TC_013,홈 대시보드,,,,,미작성,,,
VC_TC_014,VC_TC_014,홈 대시보드,,,,,기존,00_로그인_대시보드/login-dashboard.json,VC_TC_014 월별 접수현황 일단위 막대 그래프 렌더,
VC_TC_015,VC_TC_015,홈 대시보드,,,,,미작성,,,
VC_TC_016,VC_TC_016,홈 대시보드,,,,,미작성,,,
VC_TC_017,VC_TC_017,홈 대시보드,,,,,미작성,,,
VC_TC_018,VC_TC_018,VOC 업무,,,PASS,,기존,01_VOC업무/voc-register.json,"VC_TC_018,019 VOC 등록 화면 진입 (고객정보·VOC 접수정보·VOC 접수내용·업무요청/공유 없음·등록 버튼)",
VC_TC_019,VC_TC_019,VOC 업무,VOC등록,,PASS,,미작성,,,
VC_TC_020,VC_TC_020,VOC 업무,VOC등록,고객정보,PASS,,기존,01_VOC업무/voc-register.json,"VC_TC_020,043,094 섹션 타이틀 클릭 → 항목 접힘/다시 펼침 (고객정보·접수정보·접수내용)",
VC_TC_021,VC_TC_021,VOC 업무,VOC등록,고객정보,PASS,,기존,01_VOC업무/voc-register.json,"VC_TC_021,022,044 고객정보·VOC 접수정보 항목 구성 (라벨·입력창·고객메모 라벨형·Risk/악성 VOC 체크박스)",
VC_TC_022,VC_TC_022,VOC 업무,VOC등록,고객정보,PASS,,미작성,,,
VC_TC_023,VC_TC_023,VOC 업무,VOC등록,고객정보,,,미작성,,,
VC_TC_024,VC_TC_024,VOC 업무,VOC등록,고객정보,,,기존,01_VOC업무/voc-register.json,"VC_TC_024,027,030 비회원 연락처/아이디 검색 → 고객 검색 팝업 자동 닫힘 + 비회원 체크 + 회원 항목 비활성",
VC_TC_025,VC_TC_025,VOC 업무,VOC등록,고객정보,,,미작성,,,
VC_TC_026,VC_TC_026,VOC 업무,VOC등록,고객정보,PASS,,미작성,,,
VC_TC_027,VC_TC_027,VOC 업무,VOC등록,고객정보,,,미작성,,,
VC_TC_028,VC_TC_028,VOC 업무,VOC등록,고객정보,,,미작성,,,
VC_TC_029,VC_TC_029,VOC 업무,VOC등록,고객정보,,,미작성,,,
VC_TC_030,VC_TC_030,VOC 업무,VOC등록,고객정보,,,미작성,,,
VC_TC_031,VC_TC_031,VOC 업무,VOC등록,고객정보,,,미작성,,,
VC_TC_032,VC_TC_032,VOC 업무,VOC등록,고객정보,,,미작성,,,
VC_TC_033,VC_TC_033,VOC 업무,VOC등록,고객정보,PASS,,미작성,,,
VC_TC_034,VC_TC_034,VOC 업무,VOC등록,고객정보,PASS,,기존,01_VOC업무/voc-register.json,"VC_TC_034,093 비회원 체크 → 아이디 입력창 비활성(readonly)·검색 아이콘 숨김 / Risk VOC·악성 VOC 체크·해제",
VC_TC_035,VC_TC_035,VOC 업무,VOC등록,고객정보,PASS,,미작성,,,
VC_TC_036,VC_TC_036,VOC 업무,VOC등록,고객정보,PASS,,기존,01_VOC업무/voc-register.json,"VC_TC_036,037,039,040 사이렌 이력·VOC 이력 팝업 — 시작일>종료일 검색 알림, 정상 기간 검색",
VC_TC_037,VC_TC_037,VOC 업무,VOC등록,고객정보,PASS,,미작성,,,
VC_TC_038,VC_TC_038,VOC 업무,VOC등록,고객정보,PASS,,미작성,,,
VC_TC_039,VC_TC_039,VOC 업무,VOC등록,고객정보,PASS,,미작성,,,
VC_TC_040,VC_TC_040,VOC 업무,VOC등록,고객정보,PASS,,미작성,,,
VC_TC_041,VC_TC_041,VOC 업무,VOC등록,고객정보,PASS,,기존,01_VOC업무/voc-register.json,"VC_TC_041,042,079,095 입력 문자(한글/숫자/특수/한자) 허용 및 결제정보 30자 제한 속성, 고객정보 초기화",
VC_TC_042,VC_TC_042,VOC 업무,VOC등록,고객정보,PASS,,미작성,,,
VC_TC_043,VC_TC_043,VOC 업무,VOC등록,VOC 접수정보,PASS,,미작성,,,
VC_TC_044,VC_TC_044,VOC 업무,VOC등록,VOC 접수정보,PASS,,미작성,,,
VC_TC_045,VC_TC_045,VOC 업무,VOC등록,VOC 접수정보,PASS,,기존,01_VOC업무/voc-register.json,VC_TC_045~050 채널·고객센터·문의유형 라디오 단일 선택 + 채널별 고객센터 활성/하단 체크박스 표시 제어,
VC_TC_046,VC_TC_046,VOC 업무,VOC등록,VOC 접수정보,PASS,,미작성,,,
